profile_id,role_category,skills,skill_count,experience_years,source,raw_skills,normalized_skills,normalized_experience
SYN_0007,Full Stack Developer,"['Communication', 'Python', 'JavaScript', 'Critical Thinking', 'HTML/CSS', 'Next.js', 'REST APIs', 'TypeScript', 'Creativity', 'PostgreSQL', 'Git', 'React']",11,5-8,Synthetic,"['Communication', 'Python', 'JavaScript', 'Critical Thinking', 'HTML/CSS', 'Next.js', 'REST APIs', 'TypeScript', 'Creativity', 'PostgreSQL', 'Git', 'React']","['Communication', 'Python', 'JavaScript', 'Critical Thinking', 'HTML/CSS', 'Rest Apis', 'TypeScript', 'Creativity', 'PostgreSQL', 'Git', 'React']",Senior Level (5-8 years)
SYN_0008,IT Support Specialist,"['Networking Basics', 'Active Directory', 'Problem Solving', 'Windows', 'Office 365', 'Remote Support', 'Customer Service', 'Ticketing Systems', 'Critical Thinking', 'Software Installation']",10,3-5,Synthetic,"['Networking Basics', 'Active Directory', 'Problem Solving', 'Windows', 'Office 365', 'Remote Support', 'Customer Service', 'Ticketing Systems', 'Critical Thinking', 'Software Installation']","['Networking Basics', 'Active Directory', 'Problem Solving', 'Windows', 'Office 365', 'Remote Support', 'Customer Service', 'Ticketing Systems', 'Critical Thinking', 'Software Installation']",Mid Level (3-5 years)
SYN_0009,UI/UX Designer,"['Photoshop', 'Problem Solving', 'Illustrator', 'Sketch', 'Critical Thinking', 'Adobe XD', 'User Research', 'User Flows', 'Information Architecture', 'Teamwork']",10,3-5,Synthetic,"['Photoshop', 'Problem Solving', 'Illustrator', 'Sketch', 'Critical Thinking', 'Adobe XD', 'User Research', 'User Flows', 'Information Architecture', 'Teamwork']","['Photoshop', 'Problem Solving', 'Illustrator', 'Sketch', 'Critical Thinking', 'Adobe Xd', 'User Research', 'User Flows', 'Information Architecture', 'Teamwork']",Mid Level (3-5 years)
SYN_0010,Data Scientist,"['Data Visualization', 'Pandas', 'PyTorch', 'Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Adaptability', 'TensorFlow', 'Teamwork']",11,0-2,Synthetic,"['Data Visualization', 'Pandas', 'PyTorch', 'Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Adaptability', 'TensorFlow', 'Teamwork']","['Data Visualization', 'Pandas', 'PyTorch', 'Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Adaptability', 'TensorFlow', 'Teamwork']",Entry Level (0-2 years)
SYN_0011,Product Manager,"['Roadmapping', 'Leadership', 'Communication', 'Prioritization', 'Time Management', 'Data Analysis', 'User Research', 'Creativity', 'Scrum', 'Product Strategy']",10,0-2,Synthetic,"['Roadmapping', 'Leadership', 'Communication', 'Prioritization', 'Time Management', 'Data Analysis', 'User Research', 'Creativity', 'Scrum', 'Product Strategy']","['Roadmapping', 'Leadership', 'Communication', 'Prioritization', 'Time Management', 'Data Science', 'User Research', 'Creativity', 'Scrum', 'Product Strategy']",Entry Level (0-2 years)
SYN_0012,Software Developer,"['Linux', 'Java', 'Problem Solving', 'SQL', 'JavaScript', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Teamwork']",10,8+,Synthetic,"['Linux', 'Java', 'Problem Solving', 'SQL', 'JavaScript', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Teamwork']","['Linux', 'Java', 'Problem Solving', 'SQL', 'JavaScript', 'Documentation', 'Rest Apis', 'Creativity', 'Agile', 'Teamwork']",Lead Level (8+ years)
SYN_0013,IT Support Specialist,"['Linux', 'Problem Solving', 'Communication', 'Printers', 'Office 365', 'Remote Support', 'Customer Service', 'Documentation']",8,3-5,Synthetic,"['Linux', 'Problem Solving', 'Communication', 'Printers', 'Office 365', 'Remote Support', 'Customer Service', 'Documentation']","['Linux', 'Problem Solving', 'Communication', 'Printers', 'Office 365', 'Remote Support', 'Customer Service', 'Documentation']",Mid Level (3-5 years)
SYN_0014,Cloud Engineer,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'CI/CD', 'Python', 'Creativity', 'Security', 'CloudFormation']",9,3-5,Synthetic,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'CI/CD', 'Python', 'Creativity', 'Security', 'CloudFormation']","['AWS', 'Linux', 'Problem Solving', 'Leadership', 'Ci/Cd', 'Python', 'Creativity', 'Security', 'Cloudformation']",Mid Level (3-5 years)
SYN_0015,UI/UX Designer,"['Prototyping', 'Communication', 'Illustrator', 'Time Management', 'Usability Testing', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Information Architecture']",10,3-5,Synthetic,"['Prototyping', 'Communication', 'Illustrator', 'Time Management', 'Usability Testing', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Information Architecture']","['Prototyping', 'Communication', 'Illustrator', 'Time Management', 'Usability Testing', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Information Architecture']",Mid Level (3-5 years)
SYN_0016,Frontend Developer,"['UI/UX Principles', 'CSS', 'Leadership', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Creativity', 'Vue.js', 'Testing', 'React', 'Tailwind CSS']",11,0-2,Synthetic,"['UI/UX Principles', 'CSS', 'Leadership', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Creativity', 'Vue.js', 'Testing', 'React', 'Tailwind CSS']","['Ui/Ux Principles', 'HTML/CSS', 'Leadership', 'Responsive Design', 'Angular', 'Teamwork', 'JavaScript', 'Creativity', 'Vue.js', 'Testing', 'React']",Entry Level (0-2 years)
SYN_0017,Data Scientist,"['A/B Testing', 'NumPy', 'PyTorch', 'Spark', 'Tableau', 'Critical Thinking', 'Time Management', 'Machine Learning']",8,3-5,Synthetic,"['A/B Testing', 'NumPy', 'PyTorch', 'Spark', 'Tableau', 'Critical Thinking', 'Time Management', 'Machine Learning']","['A/B Testing', 'NumPy', 'PyTorch', 'Spark', 'Tableau', 'Critical Thinking', 'Time Management', 'Machine Learning']",Mid Level (3-5 years)
SYN_0018,DevOps Engineer,"['AWS', 'Bash', 'Scripting', 'Linux', 'Problem Solving', 'CI/CD', 'Jenkins', 'Critical Thinking']",8,3-5,Synthetic,"['AWS', 'Bash', 'Scripting', 'Linux', 'Problem Solving', 'CI/CD', 'Jenkins', 'Critical Thinking']","['AWS', 'Bash', 'Scripting', 'Linux', 'Problem Solving', 'Ci/Cd', 'Jenkins', 'Critical Thinking']",Mid Level (3-5 years)
SYN_0019,Frontend Developer,"['UI/UX Principles', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Webpack', 'TypeScript', 'React', 'REST APIs', 'Creativity', 'Tailwind CSS']",11,3-5,Synthetic,"['UI/UX Principles', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Webpack', 'TypeScript', 'React', 'REST APIs', 'Creativity', 'Tailwind CSS']","['Ui/Ux Principles', 'Responsive Design', 'Angular', 'Teamwork', 'JavaScript', 'HTML/CSS', 'Webpack', 'TypeScript', 'React', 'Rest Apis', 'Creativity']",Mid Level (3-5 years)
SYN_0020,DevOps Engineer,"['Bash', 'Problem Solving', 'Terraform', 'Kubernetes', 'Grafana', 'Git', 'Teamwork', 'Ansible']",8,3-5,Synthetic,"['Bash', 'Problem Solving', 'Terraform', 'Kubernetes', 'Grafana', 'Git', 'Teamwork', 'Ansible']","['Bash', 'Problem Solving', 'Terraform', 'Kubernetes', 'Grafana', 'Git', 'Teamwork', 'Ansible']",Mid Level (3-5 years)
SYN_0021,Product Manager,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Market Research', 'Scrum']",9,3-5,Synthetic,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Market Research', 'Scrum']","['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Science', 'Market Research', 'Scrum']",Mid Level (3-5 years)
SYN_0022,Cloud Engineer,"['AWS', 'Serverless', 'Networking', 'Python', 'Google Cloud', 'Azure', 'Teamwork', 'Terraform', 'Creativity', 'Kubernetes', 'Security', 'Infrastructure as Code']",12,5-8,Synthetic,"['AWS', 'Serverless', 'Networking', 'Python', 'Google Cloud', 'Azure', 'Teamwork', 'Terraform', 'Creativity', 'Kubernetes', 'Security', 'Infrastructure as Code']","['AWS', 'Serverless', 'C#', 'Python', 'Google Cloud', 'Azure', 'Teamwork', 'Terraform', 'Creativity', 'Kubernetes', 'Security', 'Infrastructure As Code']",Senior Level (5-8 years)
SYN_0023,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Tableau', 'Statistics', 'Reporting', 'ETL', 'Adaptability', 'Looker', 'Teamwork']",13,3-5,Synthetic,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Tableau', 'Statistics', 'Reporting', 'ETL', 'Adaptability', 'Looker', 'Teamwork']","['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Tableau', 'Statistics', 'Reporting', 'Etl', 'Adaptability', 'Looker', 'Teamwork']",Mid Level (3-5 years)
SYN_0024,Cybersecurity Analyst,"['SIEM', 'ISO 27001', 'Python', 'Risk Assessment', 'Leadership', 'Communication', 'Firewalls', 'NIST', 'Security Audits', 'Teamwork']",10,3-5,Synthetic,"['SIEM', 'ISO 27001', 'Python', 'Risk Assessment', 'Leadership', 'Communication', 'Firewalls', 'NIST', 'Security Audits', 'Teamwork']","['Siem', 'Iso 27001', 'Python', 'Risk Assessment', 'Leadership', 'Communication', 'Firewalls', 'Nist', 'TypeScript', 'Teamwork']",Mid Level (3-5 years)
SYN_0025,DevOps Engineer,"['Bash', 'Linux', 'Prometheus', 'Monitoring', 'Time Management', 'Terraform', 'Adaptability', 'Git']",8,0-2,Synthetic,"['Bash', 'Linux', 'Prometheus', 'Monitoring', 'Time Management', 'Terraform', 'Adaptability', 'Git']","['Bash', 'Linux', 'Prometheus', 'Monitoring', 'Time Management', 'Terraform', 'Adaptability', 'Git']",Entry Level (0-2 years)
SYN_0026,Data Scientist,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Leadership', 'Python', 'SQL', 'Tableau', 'Deep Learning', 'Spark', 'Critical Thinking']",11,5-8,Synthetic,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Leadership', 'Python', 'SQL', 'Tableau', 'Deep Learning', 'Spark', 'Critical Thinking']","['A/B Testing', 'Pandas', 'NumPy', 'Scikit-Learn', 'Leadership', 'Python', 'SQL', 'Tableau', 'Deep Learning', 'Spark', 'Critical Thinking']",Senior Level (5-8 years)
SYN_0027,Data Scientist,"['A/B Testing', 'NumPy', 'Scikit-learn', 'Problem Solving', 'Spark', 'Deep Learning', 'Statistics', 'Machine Learning', 'Critical Thinking', 'Adaptability']",10,0-2,Synthetic,"['A/B Testing', 'NumPy', 'Scikit-learn', 'Problem Solving', 'Spark', 'Deep Learning', 'Statistics', 'Machine Learning', 'Critical Thinking', 'Adaptability']","['A/B Testing', 'NumPy', 'Scikit-Learn', 'Problem Solving', 'Spark', 'Deep Learning', 'Statistics', 'Machine Learning', 'Critical Thinking', 'Adaptability']",Entry Level (0-2 years)
SYN_0028,Product Manager,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Agile', 'Teamwork']",9,0-2,Synthetic,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Agile', 'Teamwork']","['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Science', 'Agile', 'Teamwork']",Entry Level (0-2 years)
SYN_0029,DevOps Engineer,"['Bash', 'Prometheus', 'Python', 'CI/CD', 'Time Management', 'Terraform', 'Adaptability', 'Kubernetes', 'Grafana']",9,5-8,Synthetic,"['Bash', 'Prometheus', 'Python', 'CI/CD', 'Time Management', 'Terraform', 'Adaptability', 'Kubernetes', 'Grafana']","['Bash', 'Prometheus', 'Python', 'Ci/Cd', 'Time Management', 'Terraform', 'Adaptability', 'Kubernetes', 'Grafana']",Senior Level (5-8 years)
SYN_0030,Software Developer,"['Debugging', 'Problem Solving', 'Communication', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Version Control', 'Documentation', 'REST APIs']",10,0-2,Synthetic,"['Debugging', 'Problem Solving', 'Communication', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Version Control', 'Documentation', 'REST APIs']","['Debugging', 'Problem Solving', 'Communication', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Git', 'Documentation', 'Rest Apis']",Entry Level (0-2 years)
SYN_0031,IT Support Specialist,"['Linux', 'Windows', 'Office 365', 'Remote Support', 'MacOS', 'Critical Thinking', 'Software Installation', 'Teamwork']",8,3-5,Synthetic,"['Linux', 'Windows', 'Office 365', 'Remote Support', 'MacOS', 'Critical Thinking', 'Software Installation', 'Teamwork']","['Linux', 'Windows', 'Office 365', 'Remote Support', 'Macos', 'Critical Thinking', 'Software Installation', 'Teamwork']",Mid Level (3-5 years)
SYN_0032,Product Manager,"['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Critical Thinking', 'Market Research', 'Scrum', 'Creativity', 'Product Strategy']",10,5-8,Synthetic,"['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Critical Thinking', 'Market Research', 'Scrum', 'Creativity', 'Product Strategy']","['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Critical Thinking', 'Market Research', 'Scrum', 'Creativity', 'Product Strategy']",Senior Level (5-8 years)
SYN_0033,Cloud Engineer,"['AWS', 'Serverless', 'Linux', 'Leadership', 'Time Management', 'Terraform', 'Creativity', 'Security', 'Infrastructure as Code']",9,5-8,Synthetic,"['AWS', 'Serverless', 'Linux', 'Leadership', 'Time Management', 'Terraform', 'Creativity', 'Security', 'Infrastructure as Code']","['AWS', 'Serverless', 'Linux', 'Leadership', 'Time Management', 'Terraform', 'Creativity', 'Security', 'Infrastructure As Code']",Senior Level (5-8 years)
SYN_0034,Backend Developer,"['Microservices', 'Django', 'Linux', 'Java', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Redis', 'Time Management', 'Authentication', 'Spring Boot', 'Docker']",12,5-8,Synthetic,"['Microservices', 'Django', 'Linux', 'Java', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Redis', 'Time Management', 'Authentication', 'Spring Boot', 'Docker']","['Microservices', 'Django', 'Linux', 'Java', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Redis', 'Time Management', 'Authentication', 'Docker']",Senior Level (5-8 years)
SYN_0035,Network Engineer,"['Network Monitoring', 'Problem Solving', 'Communication', 'Leadership', 'Routing', 'Network Security', 'OSPF', 'Load Balancing', 'Firewalls', 'DHCP', 'DNS', 'VPN', 'Wireshark']",13,5-8,Synthetic,"['Network Monitoring', 'Problem Solving', 'Communication', 'Leadership', 'Routing', 'Network Security', 'OSPF', 'Load Balancing', 'Firewalls', 'DHCP', 'DNS', 'VPN', 'Wireshark']","['Network Monitoring', 'Problem Solving', 'Communication', 'Leadership', 'Routing', 'Network Security', 'Ospf', 'Load Balancing', 'Firewalls', 'Dhcp', 'Dns', 'Vpn', 'Wireshark']",Senior Level (5-8 years)
SYN_0036,UI/UX Designer,"['Figma', 'Photoshop', 'Illustrator', 'Time Management', 'Adobe XD', 'Usability Testing', 'User Research', 'Design Systems', 'Visual Design', 'Adaptability', 'Interaction Design']",11,3-5,Synthetic,"['Figma', 'Photoshop', 'Illustrator', 'Time Management', 'Adobe XD', 'Usability Testing', 'User Research', 'Design Systems', 'Visual Design', 'Adaptability', 'Interaction Design']","['Figma', 'Photoshop', 'Illustrator', 'Time Management', 'Adobe Xd', 'Usability Testing', 'User Research', 'Design Systems', 'Visual Design', 'Adaptability', 'Interaction Design']",Mid Level (3-5 years)
SYN_0037,Network Engineer,"['Switching', 'Leadership', 'Routing', 'DNS', 'OSPF', 'Time Management', 'Load Balancing', 'DHCP', 'BGP', 'Teamwork']",10,0-2,Synthetic,"['Switching', 'Leadership', 'Routing', 'DNS', 'OSPF', 'Time Management', 'Load Balancing', 'DHCP', 'BGP', 'Teamwork']","['Switching', 'Leadership', 'Routing', 'Dns', 'Ospf', 'Time Management', 'Load Balancing', 'Dhcp', 'Bgp', 'Teamwork']",Entry Level (0-2 years)
SYN_0038,Network Engineer,"['Network Monitoring', 'Switching', 'Leadership', 'Routing', 'Network Security', 'Cisco', 'DHCP', 'BGP', 'VPN', 'Teamwork', 'Wireshark']",11,3-5,Synthetic,"['Network Monitoring', 'Switching', 'Leadership', 'Routing', 'Network Security', 'Cisco', 'DHCP', 'BGP', 'VPN', 'Teamwork', 'Wireshark']","['Network Monitoring', 'Switching', 'Leadership', 'Routing', 'Network Security', 'Cisco', 'Dhcp', 'Bgp', 'Vpn', 'Teamwork', 'Wireshark']",Mid Level (3-5 years)
SYN_0039,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Leadership', 'Excel', 'Tableau', 'Statistics', 'Reporting', 'Critical Thinking', 'Power BI']",11,3-5,Synthetic,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Leadership', 'Excel', 'Tableau', 'Statistics', 'Reporting', 'Critical Thinking', 'Power BI']","['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Leadership', 'Excel', 'Tableau', 'Statistics', 'Reporting', 'Critical Thinking', 'Power BI']",Mid Level (3-5 years)
SYN_0040,Database Administrator,"['Scripting', 'Database Design', 'High Availability', 'Monitoring', 'Critical Thinking', 'MySQL', 'Query Optimization', 'MongoDB', 'Adaptability', 'PostgreSQL', 'Teamwork']",11,5-8,Synthetic,"['Scripting', 'Database Design', 'High Availability', 'Monitoring', 'Critical Thinking', 'MySQL', 'Query Optimization', 'MongoDB', 'Adaptability', 'PostgreSQL', 'Teamwork']","['Scripting', 'Database Design', 'Machine Learning', 'Monitoring', 'Critical Thinking', 'SQL', 'Query Optimization', 'MongoDB', 'Adaptability', 'PostgreSQL', 'Teamwork']",Senior Level (5-8 years)
SYN_0041,Cloud Engineer,"['AWS', 'Serverless', 'Networking', 'Linux', 'Google Cloud', 'Azure', 'Time Management', 'Terraform', 'Adaptability', 'Infrastructure as Code']",10,5-8,Synthetic,"['AWS', 'Serverless', 'Networking', 'Linux', 'Google Cloud', 'Azure', 'Time Management', 'Terraform', 'Adaptability', 'Infrastructure as Code']","['AWS', 'Serverless', 'C#', 'Linux', 'Google Cloud', 'Azure', 'Time Management', 'Terraform', 'Adaptability', 'Infrastructure As Code']",Senior Level (5-8 years)
SYN_0042,Backend Developer,"['Microservices', 'Django', 'Leadership', 'Python', 'API Security', 'Redis', 'SQL', 'Time Management', 'REST APIs', 'Spring Boot', 'Node.js']",11,3-5,Synthetic,"['Microservices', 'Django', 'Leadership', 'Python', 'API Security', 'Redis', 'SQL', 'Time Management', 'REST APIs', 'Spring Boot', 'Node.js']","['Microservices', 'Django', 'Leadership', 'Python', 'Api Security', 'Redis', 'SQL', 'Time Management', 'Rest Apis', 'Java', 'Node.js']",Mid Level (3-5 years)
SYN_0043,Cloud Engineer,"['AWS', 'Linux', 'Communication', 'CI/CD', 'Python', 'Leadership', 'Azure', 'Google Cloud', 'Monitoring', 'Terraform', 'CloudFormation', 'Teamwork', 'Docker']",13,0-2,Synthetic,"['AWS', 'Linux', 'Communication', 'CI/CD', 'Python', 'Leadership', 'Azure', 'Google Cloud', 'Monitoring', 'Terraform', 'CloudFormation', 'Teamwork', 'Docker']","['AWS', 'Linux', 'Communication', 'Ci/Cd', 'Python', 'Leadership', 'Azure', 'Google Cloud', 'Monitoring', 'Terraform', 'Cloudformation', 'Teamwork', 'Docker']",Entry Level (0-2 years)
SYN_0044,IT Support Specialist,"['Active Directory', 'Windows', 'Communication', 'Remote Support', 'MacOS', 'Time Management', 'Software Installation', 'Troubleshooting']",8,8+,Synthetic,"['Active Directory', 'Windows', 'Communication', 'Remote Support', 'MacOS', 'Time Management', 'Software Installation', 'Troubleshooting']","['Active Directory', 'Windows', 'Communication', 'Remote Support', 'Macos', 'Time Management', 'Software Installation', 'Troubleshooting']",Lead Level (8+ years)
