profile_id,role_category,skills,skill_count,experience_years,source
SYN_0010,Data Scientist,"['Data Visualization', 'Pandas', 'PyTorch', 'Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Adaptability', 'TensorFlow', 'Teamwork']",11,0-2,Synthetic
SYN_0011,Product Manager,"['Roadmapping', 'Leadership', 'Communication', 'Prioritization', 'Time Management', 'Data Analysis', 'User Research', 'Creativity', 'Scrum', 'Product Strategy']",10,0-2,Synthetic
SYN_0012,Software Developer,"['Linux', 'Java', 'Problem Solving', 'SQL', 'JavaScript', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Teamwork']",10,8+,Synthetic
SYN_0013,IT Support Specialist,"['Linux', 'Problem Solving', 'Communication', 'Printers', 'Office 365', 'Remote Support', 'Customer Service', 'Documentation']",8,3-5,Synthetic
SYN_0014,Cloud Engineer,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'CI/CD', 'Python', 'Creativity', 'Security', 'CloudFormation']",9,3-5,Synthetic
SYN_0015,UI/UX Designer,"['Prototyping', 'Communication', 'Illustrator', 'Time Management', 'Usability Testing', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Information Architecture']",10,3-5,Synthetic
SYN_0016,Frontend Developer,"['UI/UX Principles', 'CSS', 'Leadership', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Creativity', 'Vue.js', 'Testing', 'React', 'Tailwind CSS']",13,0-2,Synthetic
SYN_0017,Data Scientist,"['A/B Testing', 'NumPy', 'PyTorch', 'Spark', 'Tableau', 'Critical Thinking', 'Time Management', 'Machine Learning']",8,3-5,Synthetic
SYN_0018,DevOps Engineer,"['AWS', 'Bash', 'Scripting', 'Linux', 'Problem Solving', 'CI/CD', 'Jenkins', 'Critical Thinking']",8,3-5,Synthetic
SYN_0019,Frontend Developer,"['UI/UX Principles', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'HTML', 'Webpack', 'TypeScript', 'React', 'REST APIs', 'Creativity', 'Tailwind CSS']",12,3-5,Synthetic
SYN_0020,DevOps Engineer,"['Bash', 'Problem Solving', 'Terraform', 'Kubernetes', 'Grafana', 'Git', 'Teamwork', 'Ansible']",8,3-5,Synthetic
SYN_0021,Product Manager,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Market Research', 'Scrum']",9,3-5,Synthetic
SYN_0022,Cloud Engineer,"['AWS', 'Serverless', 'Networking', 'Python', 'Google Cloud', 'Azure', 'Teamwork', 'Terraform', 'Creativity', 'Kubernetes', 'Security', 'Infrastructure as Code']",12,5-8,Synthetic
SYN_0023,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Tableau', 'Statistics', 'Reporting', 'ETL', 'Adaptability', 'Looker', 'Teamwork']",13,3-5,Synthetic
SYN_0024,Cybersecurity Analyst,"['SIEM', 'ISO 27001', 'Python', 'Risk Assessment', 'Leadership', 'Communication', 'Firewalls', 'NIST', 'Security Audits', 'Teamwork']",10,3-5,Synthetic
SYN_0025,DevOps Engineer,"['Bash', 'Linux', 'Prometheus', 'Monitoring', 'Time Management', 'Terraform', 'Adaptability', 'Git']",8,0-2,Synthetic
SYN_0026,Data Scientist,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Leadership', 'Python', 'SQL', 'Tableau', 'Deep Learning', 'Spark', 'Critical Thinking']",11,5-8,Synthetic
SYN_0027,Data Scientist,"['A/B Testing', 'NumPy', 'Scikit-learn', 'Problem Solving', 'Spark', 'Deep Learning', 'Statistics', 'Machine Learning', 'Critical Thinking', 'Adaptability']",10,0-2,Synthetic
SYN_0028,Product Manager,"['Roadmapping', 'Customer Discovery', 'Communication', 'Leadership', 'Product Metrics', 'Time Management', 'Data Analysis', 'Agile', 'Teamwork']",9,0-2,Synthetic
SYN_0029,DevOps Engineer,"['Bash', 'Prometheus', 'Python', 'CI/CD', 'Time Management', 'Terraform', 'Adaptability', 'Kubernetes', 'Grafana']",9,5-8,Synthetic
SYN_0030,Software Developer,"['Debugging', 'Problem Solving', 'Communication', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Version Control', 'Documentation', 'REST APIs']",10,0-2,Synthetic
SYN_0031,IT Support Specialist,"['Linux', 'Windows', 'Office 365', 'Remote Support', 'MacOS', 'Critical Thinking', 'Software Installation', 'Teamwork']",8,3-5,Synthetic
SYN_0032,Product Manager,"['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Critical Thinking', 'Market Research', 'Scrum', 'Creativity', 'Product Strategy']",10,5-8,Synthetic
SYN_0033,Cloud Engineer,"['AWS', 'Serverless', 'Linux', 'Leadership', 'Time Management', 'Terraform', 'Creativity', 'Security', 'Infrastructure as Code']",9,5-8,Synthetic
SYN_0034,Backend Developer,"['Microservices', 'Django', 'Linux', 'Java', 'Problem Solving', 'Communication', 'Python', 'SQL', 'Redis', 'Time Management', 'Authentication', 'Spring Boot', 'Docker']",13,5-8,Synthetic
SYN_0035,Network Engineer,"['Network Monitoring', 'Problem Solving', 'Communication', 'Leadership', 'Routing', 'Network Security', 'OSPF', 'Load Balancing', 'Firewalls', 'DHCP', 'DNS', 'VPN', 'Wireshark']",13,5-8,Synthetic
SYN_0036,UI/UX Designer,"['Figma', 'Photoshop', 'Illustrator', 'Time Management', 'Adobe XD', 'Usability Testing', 'User Research', 'Design Systems', 'Visual Design', 'Adaptability', 'Interaction Design']",11,3-5,Synthetic
SYN_0037,Network Engineer,"['Switching', 'Leadership', 'Routing', 'DNS', 'OSPF', 'Time Management', 'Load Balancing', 'DHCP', 'BGP', 'Teamwork']",10,0-2,Synthetic
SYN_0038,Network Engineer,"['Network Monitoring', 'Switching', 'Leadership', 'Routing', 'Network Security', 'Cisco', 'DHCP', 'BGP', 'VPN', 'Teamwork', 'Wireshark']",11,3-5,Synthetic
SYN_0039,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Leadership', 'Excel', 'Tableau', 'Statistics', 'Reporting', 'Critical Thinking', 'Power BI']",11,3-5,Synthetic
SYN_0040,Database Administrator,"['Scripting', 'Database Design', 'High Availability', 'Monitoring', 'Critical Thinking', 'MySQL', 'Query Optimization', 'MongoDB', 'Adaptability', 'PostgreSQL', 'Teamwork']",11,5-8,Synthetic
SYN_0041,Cloud Engineer,"['AWS', 'Serverless', 'Networking', 'Linux', 'Google Cloud', 'Azure', 'Time Management', 'Terraform', 'Adaptability', 'Infrastructure as Code']",10,5-8,Synthetic
SYN_0042,Backend Developer,"['Microservices', 'Django', 'Leadership', 'Python', 'API Security', 'Redis', 'SQL', 'Time Management', 'REST APIs', 'Spring Boot', 'Node.js']",11,3-5,Synthetic
SYN_0043,Cloud Engineer,"['AWS', 'Linux', 'Communication', 'CI/CD', 'Python', 'Leadership', 'Azure', 'Google Cloud', 'Monitoring', 'Terraform', 'CloudFormation', 'Teamwork', 'Docker']",13,0-2,Synthetic
SYN_0044,IT Support Specialist,"['Active Directory', 'Windows', 'Communication', 'Remote Support', 'MacOS', 'Time Management', 'Software Installation', 'Troubleshooting']",8,8+,Synthetic
SYN_0045,DevOps Engineer,"['AWS', 'Linux', 'Problem Solving', 'Python', 'Monitoring', 'Terraform', 'Adaptability', 'Creativity', 'Kubernetes', 'Ansible', 'Grafana', 'Git', 'Docker']",13,8+,Synthetic
SYN_0046,Database Administrator,"['Scripting', 'Replication', 'Database Design', 'Leadership', 'High Availability', 'Performance Tuning', 'Monitoring', 'Database Security', 'Query Optimization', 'MongoDB', 'PostgreSQL', 'Teamwork']",12,5-8,Synthetic
SYN_0047,Cloud Engineer,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'Azure', 'Google Cloud', 'Critical Thinking', 'Terraform', 'Kubernetes', 'Security']",10,3-5,Synthetic
SYN_0048,UI/UX Designer,"['Wireframing', 'Photoshop', 'Prototyping', 'Communication', 'Illustrator', 'Sketch', 'Visual Design', 'User Flows', 'Adobe XD', 'Creativity', 'Design Systems', 'Interaction Design']",12,3-5,Synthetic
SYN_0049,UI/UX Designer,"['Photoshop', 'Prototyping', 'Sketch', 'Critical Thinking', 'Time Management', 'User Research', 'Design Systems', 'Interaction Design']",8,0-2,Synthetic
SYN_0050,Software Developer,"['Debugging', 'Linux', 'Leadership', 'JavaScript', 'Version Control', 'Time Management', 'REST APIs', 'Testing', 'Object-Oriented Programming']",9,0-2,Synthetic
SYN_0051,DevOps Engineer,"['Bash', 'Linux', 'Problem Solving', 'Jenkins', 'Prometheus', 'Monitoring', 'Time Management', 'Ansible']",8,5-8,Synthetic
SYN_0052,Product Manager,"['Roadmapping', 'JIRA', 'Leadership', 'Communication', 'Scrum', 'User Research', 'Creativity', 'Agile', 'Adaptability', 'MVP', 'Product Strategy']",11,0-2,Synthetic
SYN_0053,UI/UX Designer,"['Wireframing', 'Photoshop', 'Prototyping', 'Sketch', 'User Flows', 'Critical Thinking', 'Time Management', 'Adobe XD', 'User Research', 'Design Systems', 'Interaction Design', 'Information Architecture']",12,5-8,Synthetic
SYN_0054,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Leadership', 'Excel', 'Statistics', 'ETL', 'Business Intelligence']",9,0-2,Synthetic
SYN_0055,Cybersecurity Analyst,"['Vulnerability Scanning', 'SIEM', 'Compliance', 'Risk Assessment', 'Python', 'Communication', 'Leadership', 'NIST', 'Wireshark']",9,8+,Synthetic
SYN_0056,Cybersecurity Analyst,"['Vulnerability Scanning', 'SIEM', 'Problem Solving', 'Risk Assessment', 'ISO 27001', 'Python', 'Leadership', 'Time Management', 'Incident Response', 'Cryptography', 'Penetration Testing']",11,3-5,Synthetic
SYN_0057,Network Engineer,"['Switching', 'Leadership', 'Network Security', 'TCP/IP', 'Cisco', 'Critical Thinking', 'DHCP', 'DNS']",8,3-5,Synthetic
SYN_0058,Software Developer,"['Debugging', 'Java', 'Problem Solving', 'Communication', 'Algorithms', 'JavaScript', 'Version Control', 'Documentation', 'Data Structures', 'Teamwork']",10,0-2,Synthetic
SYN_0059,Cybersecurity Analyst,"['SIEM', 'Linux', 'Risk Assessment', 'Critical Thinking', 'Time Management', 'NIST', 'Cryptography', 'Wireshark']",8,3-5,Synthetic
SYN_0060,Software Developer,"['Linux', 'Debugging', 'Leadership', 'Algorithms', 'JavaScript', 'Version Control', 'Time Management', 'REST APIs', 'Adaptability', 'Git', 'Data Structures']",11,0-2,Synthetic
SYN_0061,Software Developer,"['Debugging', 'Java', 'Python', 'Algorithms', 'JavaScript', 'SQL', 'Version Control', 'Time Management', 'REST APIs', 'Object-Oriented Programming', 'Creativity', 'Data Structures']",12,3-5,Synthetic
SYN_0062,Data Analyst,"['SQL', 'Tableau', 'Statistics', 'Reporting', 'Critical Thinking', 'ETL', 'Business Intelligence', 'Adaptability', 'Data Cleaning']",9,0-2,Synthetic
SYN_0063,Frontend Developer,"['UI/UX Principles', 'CSS', 'Leadership', 'Angular', 'Next.js', 'Webpack', 'REST APIs', 'Testing', 'Git', 'Teamwork']",10,8+,Synthetic
SYN_0064,Database Administrator,"['Linux', 'Problem Solving', 'High Availability', 'Monitoring', 'Backup Recovery', 'Time Management', 'Query Optimization', 'MongoDB', 'Teamwork']",9,0-2,Synthetic
SYN_0065,Product Manager,"['Stakeholder Management', 'Leadership', 'Prioritization', 'Product Metrics', 'Time Management', 'Data Analysis', 'User Research', 'Agile', 'Adaptability', 'Product Strategy']",10,0-2,Synthetic
SYN_0066,Frontend Developer,"['UI/UX Principles', 'Angular', 'Next.js', 'Webpack', 'REST APIs', 'Adaptability', 'Git', 'Teamwork']",8,0-2,Synthetic
SYN_0067,Mobile Developer,"['Java', 'API Integration', 'Flutter', 'Critical Thinking', 'App Store Deployment', 'Swift', 'Creativity', 'Mobile UI', 'Git', 'Teamwork']",10,0-2,Synthetic
SYN_0068,Frontend Developer,"['Communication', 'Leadership', 'JavaScript', 'Angular', 'REST APIs', 'TypeScript', 'Webpack', 'Creativity', 'Vue.js', 'Git', 'React']",11,3-5,Synthetic
SYN_0069,DevOps Engineer,"['Bash', 'Scripting', 'Linux', 'Communication', 'Prometheus', 'Python', 'Time Management', 'Terraform', 'Adaptability', 'Ansible']",10,3-5,Synthetic
SYN_0070,DevOps Engineer,"['AWS', 'Bash', 'Communication', 'Prometheus', 'CI/CD', 'Monitoring', 'Terraform', 'Creativity', 'Kubernetes', 'Grafana', 'Teamwork', 'Docker']",12,0-2,Synthetic
SYN_0071,Frontend Developer,"['Leadership', 'Angular', 'Next.js', 'Time Management', 'Webpack', 'REST APIs', 'TypeScript', 'Vue.js', 'Git', 'React']",10,3-5,Synthetic
SYN_0072,Frontend Developer,"['CSS', 'Problem Solving', 'Communication', 'Responsive Design', 'Angular', 'Critical Thinking', 'Webpack', 'HTML', 'TypeScript', 'Vue.js', 'Git']",11,3-5,Synthetic
SYN_0073,Database Administrator,"['Sharding', 'Replication', 'Linux', 'Performance Tuning', 'PostgreSQL', 'Query Optimization', 'Adaptability', 'Database Security', 'Teamwork']",9,3-5,Synthetic
SYN_0074,Backend Developer,"['Microservices', 'Linux', 'SQL', 'API Security', 'Time Management', 'REST APIs', 'MongoDB', 'Adaptability', 'Node.js']",9,3-5,Synthetic
SYN_0075,Cloud Engineer,"['AWS', 'Serverless', 'Linux', 'Python', 'Monitoring', 'Adaptability', 'Teamwork', 'Docker']",8,0-2,Synthetic
SYN_0076,Backend Developer,"['Microservices', 'Java', 'Database Design', 'Problem Solving', 'Critical Thinking', 'REST APIs', 'MongoDB', 'Docker']",8,3-5,Synthetic
SYN_0077,Data Scientist,"['A/B Testing', 'Data Visualization', 'NumPy', 'Leadership', 'PyTorch', 'Spark', 'SQL', 'Statistics', 'Creativity', 'TensorFlow']",10,0-2,Synthetic
SYN_0078,UI/UX Designer,"['Wireframing', 'Figma', 'Photoshop', 'Communication', 'Visual Design', 'Adobe XD', 'Adaptability', 'User Research', 'Design Systems', 'User Flows', 'Accessibility', 'Interaction Design', 'Teamwork']",13,0-2,Synthetic
SYN_0079,Full Stack Developer,"['Communication', 'Python', 'JavaScript', 'Teamwork', 'Next.js', 'HTML/CSS', 'Time Management', 'REST APIs', 'Git', 'React', 'Tailwind CSS']",11,3-5,Synthetic
SYN_0080,Mobile Developer,"['iOS', 'Java', 'Kotlin', 'Leadership', 'Communication', 'Time Management', 'Firebase', 'REST APIs', 'App Store Deployment', 'Mobile UI', 'UX Design']",11,0-2,Synthetic
SYN_0081,Data Scientist,"['Data Visualization', 'NumPy', 'Scikit-learn', 'Leadership', 'Python', 'PyTorch', 'Deep Learning', 'Big Data', 'Machine Learning', 'Time Management', 'Creativity']",11,0-2,Synthetic
SYN_0082,Database Administrator,"['Sharding', 'Replication', 'Linux', 'Database Design', 'Problem Solving', 'Monitoring', 'SQL', 'Critical Thinking', 'MySQL', 'Creativity', 'Database Security']",11,0-2,Synthetic
SYN_0083,Frontend Developer,"['UI/UX Principles', 'JavaScript', 'Next.js', 'Time Management', 'Webpack', 'Creativity', 'Vue.js', 'Testing', 'Git']",9,3-5,Synthetic
SYN_0084,DevOps Engineer,"['Bash', 'Scripting', 'Linux', 'Leadership', 'Monitoring', 'Time Management', 'Adaptability', 'Kubernetes', 'Grafana', 'Docker']",10,5-8,Synthetic
SYN_0085,Cybersecurity Analyst,"['SIEM', 'Compliance', 'Risk Assessment', 'ISO 27001', 'Python', 'Leadership', 'Security Audits', 'Cryptography', 'Teamwork']",9,3-5,Synthetic
SYN_0086,IT Support Specialist,"['Active Directory', 'Linux', 'Hardware', 'Windows', 'Printers', 'Leadership', 'Remote Support', 'MacOS', 'Customer Service', 'Time Management', 'Software Installation', 'Documentation', 'Teamwork']",13,5-8,Synthetic
SYN_0087,Database Administrator,"['Sharding', 'Replication', 'Linux', 'Database Design', 'Leadership', 'High Availability', 'Performance Tuning', 'Time Management', 'Database Security']",9,3-5,Synthetic
SYN_0088,Backend Developer,"['Microservices', 'Linux', 'Java', 'Leadership', 'API Security', 'SQL', 'REST APIs', 'MongoDB', 'Adaptability', 'Node.js', 'Docker']",11,3-5,Synthetic
SYN_0089,Database Administrator,"['Sharding', 'Replication', 'Linux', 'Scripting', 'High Availability', 'Performance Tuning', 'Monitoring', 'MySQL', 'Backup Recovery', 'Query Optimization', 'Creativity', 'Adaptability', 'Teamwork']",13,5-8,Synthetic
SYN_0090,Cybersecurity Analyst,"['Linux', 'Compliance', 'Leadership', 'Python', 'Network Security', 'Critical Thinking', 'Firewalls', 'NIST', 'Creativity', 'Security Audits', 'Wireshark']",11,0-2,Synthetic
SYN_0091,UI/UX Designer,"['Photoshop', 'Illustrator', 'Visual Design', 'Critical Thinking', 'Time Management', 'Adobe XD', 'Usability Testing', 'User Research', 'Design Systems', 'User Flows', 'Interaction Design', 'Information Architecture']",12,0-2,Synthetic
SYN_0092,Backend Developer,"['Django', 'Linux', 'Database Design', 'Problem Solving', 'API Security', 'Redis', 'Authentication', 'REST APIs', 'MongoDB', 'Teamwork']",10,3-5,Synthetic
SYN_0093,Backend Developer,"['Django', 'Java', 'Problem Solving', 'Redis', 'Critical Thinking', 'Authentication', 'Spring Boot', 'MongoDB', 'Node.js']",9,0-2,Synthetic
SYN_0094,Frontend Developer,"['UI/UX Principles', 'Teamwork', 'Next.js', 'Time Management', 'Webpack', 'TypeScript', 'HTML', 'React', 'Vue.js', 'Git', 'Tailwind CSS']",11,5-8,Synthetic
SYN_0095,Frontend Developer,"['UI/UX Principles', 'Responsive Design', 'Angular', 'Teamwork', 'Next.js', 'Critical Thinking', 'HTML', 'TypeScript', 'REST APIs', 'Testing', 'Git', 'Tailwind CSS']",12,0-2,Synthetic
SYN_0096,UI/UX Designer,"['Figma', 'Photoshop', 'Prototyping', 'Leadership', 'Problem Solving', 'Design Systems', 'Visual Design', 'Time Management', 'Adobe XD', 'Usability Testing', 'User Flows', 'Accessibility', 'Information Architecture']",13,5-8,Synthetic
SYN_0097,Cloud Engineer,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'CI/CD', 'Python', 'Azure', 'Google Cloud', 'Monitoring', 'Adaptability', 'Kubernetes', 'Security', 'CloudFormation']",13,3-5,Synthetic
SYN_0098,UI/UX Designer,"['Prototyping', 'Problem Solving', 'Sketch', 'User Research', 'Design Systems', 'Interaction Design', 'Accessibility', 'Teamwork']",8,0-2,Synthetic
SYN_0099,Cloud Engineer,"['Networking', 'Serverless', 'Python', 'Monitoring', 'Time Management', 'Terraform', 'Creativity', 'Kubernetes', 'Teamwork', 'CloudFormation']",10,0-2,Synthetic
SYN_0100,Data Scientist,"['A/B Testing', 'Data Visualization', 'NumPy', 'Problem Solving', 'PyTorch', 'Spark', 'SQL', 'Deep Learning', 'Big Data', 'Machine Learning', 'Time Management', 'TensorFlow']",12,5-8,Synthetic
SYN_0101,Frontend Developer,"['UI/UX Principles', 'CSS', 'Leadership', 'Responsive Design', 'JavaScript', 'Angular', 'Critical Thinking', 'Next.js', 'Time Management', 'HTML', 'React', 'Tailwind CSS']",12,0-2,Synthetic
SYN_0102,Cybersecurity Analyst,"['Linux', 'Compliance', 'ISO 27001', 'Risk Assessment', 'Python', 'Problem Solving', 'Network Security', 'Critical Thinking', 'Creativity', 'Incident Response', 'Cryptography']",11,8+,Synthetic
SYN_0103,Data Scientist,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Leadership', 'Python', 'Spark', 'Tableau', 'Big Data', 'Adaptability', 'TensorFlow', 'Teamwork']",12,5-8,Synthetic
SYN_0104,Software Developer,"['Linux', 'Debugging', 'Leadership', 'JavaScript', 'SQL', 'Object-Oriented Programming', 'Creativity', 'Testing', 'Git', 'Data Structures', 'Teamwork']",11,0-2,Synthetic
SYN_0105,Data Analyst,"['Data Warehousing', 'Data Cleaning', 'Python', 'SQL', 'Tableau', 'Time Management', 'Business Intelligence', 'Adaptability', 'Looker', 'Teamwork']",10,8+,Synthetic
SYN_0106,Software Developer,"['Linux', 'Debugging', 'Leadership', 'Critical Thinking', 'Version Control', 'Time Management', 'Documentation', 'Agile', 'Git', 'Object-Oriented Programming']",10,3-5,Synthetic
SYN_0107,Software Developer,"['Debugging', 'Java', 'Leadership', 'SQL', 'JavaScript', 'Critical Thinking', 'REST APIs', 'Object-Oriented Programming', 'Git', 'Data Structures']",10,5-8,Synthetic
SYN_0108,Cloud Engineer,"['Leadership', 'CI/CD', 'Google Cloud', 'Azure', 'Critical Thinking', 'Kubernetes', 'Security', 'Infrastructure as Code', 'Docker']",9,5-8,Synthetic
SYN_0109,Cloud Engineer,"['AWS', 'Linux', 'Problem Solving', 'Leadership', 'CI/CD', 'Google Cloud', 'Azure', 'Terraform', 'Kubernetes', 'Infrastructure as Code', 'Docker']",11,0-2,Synthetic
SYN_0110,Software Developer,"['Debugging', 'Java', 'Communication', 'Leadership', 'Algorithms', 'SQL', 'JavaScript', 'Version Control', 'REST APIs', 'Agile', 'Git', 'Data Structures']",12,3-5,Synthetic
SYN_0111,Data Scientist,"['Scikit-learn', 'Communication', 'Python', 'PyTorch', 'Spark', 'Tableau', 'Time Management', 'Machine Learning', 'Creativity']",9,0-2,Synthetic
SYN_0112,Data Scientist,"['Pandas', 'NumPy', 'Scikit-learn', 'SQL', 'Statistics', 'Deep Learning', 'Machine Learning', 'Critical Thinking', 'Time Management']",9,8+,Synthetic
SYN_0113,Cloud Engineer,"['Networking', 'AWS', 'Serverless', 'Linux', 'Problem Solving', 'CI/CD', 'Python', 'Google Cloud', 'Teamwork']",9,3-5,Synthetic
SYN_0114,Software Developer,"['Java', 'Communication', 'JavaScript', 'Version Control', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Testing', 'Git', 'Object-Oriented Programming']",11,8+,Synthetic
SYN_0115,QA Tester,"['API Testing', 'Test Automation', 'Jenkins', 'SQL', 'Time Management', 'Agile Testing', 'Bug Tracking', 'Git', 'Teamwork']",9,3-5,Synthetic
SYN_0116,Backend Developer,"['Linux', 'Python', 'API Security', 'Redis', 'Critical Thinking', 'Time Management', 'REST APIs', 'Spring Boot', 'MongoDB', 'Node.js', 'Docker']",11,3-5,Synthetic
SYN_0117,Data Analyst,"['Data Warehousing', 'Communication', 'Python', 'Excel', 'SQL', 'Reporting', 'Time Management', 'Creativity', 'Business Intelligence', 'Power BI', 'Adaptability', 'Looker']",12,0-2,Synthetic
SYN_0118,Data Scientist,"['NumPy', 'Scikit-learn', 'Python', 'PyTorch', 'Spark', 'Tableau', 'Deep Learning', 'Big Data', 'SQL', 'Time Management', 'Adaptability', 'TensorFlow', 'Teamwork']",13,5-8,Synthetic
SYN_0119,Data Analyst,"['Data Visualization', 'Communication', 'Python', 'Excel', 'Leadership', 'Reporting', 'Creativity', 'Power BI', 'Adaptability', 'Data Cleaning']",10,3-5,Synthetic
SYN_0120,Data Scientist,"['A/B Testing', 'Pandas', 'NumPy', 'SQL', 'Tableau', 'Statistics', 'Big Data', 'Critical Thinking', 'Creativity']",9,3-5,Synthetic
SYN_0121,UI/UX Designer,"['Wireframing', 'Photoshop', 'Problem Solving', 'Sketch', 'Time Management', 'Adobe XD', 'Design Systems', 'Interaction Design', 'Accessibility', 'Information Architecture']",10,0-2,Synthetic
SYN_0122,Database Administrator,"['Replication', 'Linux', 'High Availability', 'Performance Tuning', 'Monitoring', 'SQL', 'Time Management', 'Query Optimization', 'MongoDB', 'Database Security', 'Teamwork']",11,8+,Synthetic
SYN_0123,Cybersecurity Analyst,"['SIEM', 'Compliance', 'Risk Assessment', 'Communication', 'Problem Solving', 'Network Security', 'Time Management', 'NIST', 'Incident Response', 'Penetration Testing', 'Wireshark']",11,3-5,Synthetic
SYN_0124,DevOps Engineer,"['AWS', 'Linux', 'CI/CD', 'Monitoring', 'Critical Thinking', 'Grafana', 'Teamwork', 'Docker']",8,3-5,Synthetic
SYN_0125,DevOps Engineer,"['AWS', 'Linux', 'Problem Solving', 'Jenkins', 'Monitoring', 'Time Management', 'Terraform', 'Adaptability', 'Grafana', 'Git', 'Ansible']",11,3-5,Synthetic
